Tiempo_s,TorqueSolicitado_Nm,TorqueMotor_Nm,VelocidadMotor_rpm,VelocidadAngular_rad_s,PotenciaMecanica_kW,PotenciaElectrica_kW,CorrienteDC_A,Eficiencia_pct,PotenciaRegenerativa_kW,Perdidas_kW
29.3,395,213.153941640931,6720,703.716754404114,150,163.04347826087,457.987298485589,92,0,13.0434782608696
29.4,395,211.892675714062,6760,707.9055446089,150,163.04347826087,457.987298485589,92,0,13.0434782608696
29.5,395,210.646248209862,6800,712.094334813686,150,163.04347826087,457.987298485589,92,0,13.0434782608696
29.6,395,209.414398805125,6840,716.283125018473,150,163.04347826087,457.987298485589,92,0,13.0434782608696
29.7,395,208.196873230677,6880,720.471915223259,150,163.04347826087,457.987298485589,92,0,13.0434782608696
29.8,395,206.993423096396,6920,724.660705428046,150,163.04347826087,457.987298485589,92,0,13.0434782608696
29.9,395,205.803805722278,6960,728.849495632832,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30,395,204.627783975294,7000,733.038285837618,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.1,391.05,204.335875581606,7010,734.085483388815,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.2,387.1,204.044798835763,7020,735.132680940011,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.3,383.15,203.754550188771,7030,736.179878491208,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.4,379.2,203.465126111798,7040,737.227076042405,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.5,375.25,203.176523096037,7050,738.274273593601,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.6,371.3,202.888737652558,7060,739.321471144798,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.7,367.35,202.601766312172,7070,740.368668695995,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.8,363.4,202.315605625291,7080,741.415866247191,150,163.04347826087,457.987298485589,92,0,13.0434782608696
30.9,359.45,202.030252161785,7090,742.463063798388,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31,355.5,201.745702510853,7100,743.510261349584,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.1,351.55,201.46195328088,7110,744.557458900781,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.2,347.6,201.179001099306,7120,745.604656451978,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.3,343.65,200.896842612491,7130,746.651854003174,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.4,339.7,200.615474485582,7140,747.699051554371,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.5,335.75,200.334893402386,7150,748.746249105567,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.6,331.8,200.055096065232,7160,749.793446656764,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.7,327.85,199.776079194848,7170,750.840644207961,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.8,323.9,199.497839530231,7180,751.887841759157,150,163.04347826087,457.987298485589,92,0,13.0434782608696
31.9,319.95,199.22037382852,7190,752.935039310354,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32,316,198.943678864869,7200,753.98223686155,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.1,312.05,198.667751432324,7210,755.029434412747,150,163.04347826087,457.987298485589,92,0,13.0434782608696
32.2,308.1,198.392588341698,7220,756.076631963944,150,163.04347826087,457.987298485589,92,0,13.0434782608696
